Verse number;English;Basque;gloss;marker;allomorph;type;remarks;semantics
41003022;And the scribes which <came down from Jerusalem> said , He hath Beelzebub , and by the prince of the devils casteth he out devils .;<Jerusalemdik jaitsitako> lege-maisuek, berriz, zera zioten: «Beeltzebul dauka honek barruan», eta «Deabruen buruzagiaren indarrez botatzen ditu deabruak».;Jerusalem-ABL come down.PFV-RES-REL;–tik;–dik;postposition;–dik is a phonologically conditioned allomorph of –tik;settlement
41005002;And when he was <come out of the ship> , immediately there met him out of the tombs a man with an unclean spirit ,;<Ontzitik jaitsi> orduko, espiritu gaiztoen menpe zegoen gizon bat atera zitzaion Jesusi hilobi artetik bidera.;ship-ABL come down.PFV;–tik;;postposition;;????
41005002a;And when he was come out of the ship , immediately there <met him out of the tombs> a man with an unclean spirit ,;Ontzitik jaitsi orduko, espiritu gaiztoen menpe zegoen gizon bat <atera zitzaion Jesusi hilobi artetik> bidera.;come out.PFV PST.ABS3SG.DAT3SG Jesus-DAT tomb.INDF between-ABL;–tik;;postposition;"ABL marker is added to the postposition arte 'between'; lit. '[a man] came out to Jesus from between [the] tombs'.";building
41005008;For he said unto him , <Come out of the man >, thou unclean spirit .;Izan ere, Jesusek agindu hau emana baitzion: «<Irten gizon horrengandik>, espiritu gaizto hori!»;go out man this.GEN-ANIM-ABL;–tik;–dik;postposition;–dik is a phonologically conditioned allomorph of –tik. The ABL marker is added to the animacy marker GA(N), and this can be added either to the GEN or to the determiner.;person
41005010;And he besought him much that he would not <send them away out of the country>.;Eta otoi eta otoi eskatzen zion ez zitzala <lurralde hartatik kanpora bidal>.;territory that.OBL-ABL away send;–tik;;postposition;;area
41005017;And they began to pray him to <depart out of their coasts>.;Orduan, <beren lur-mugetatik alde egiteko> eskatu zioten Jesusi.;their land limit-PL-ABL depart.NMLZ-PURP;–tik;;postposition;;area
41005030;And Jesus , immediately knowing in himself that virtue <had gone out of him>, turned him about in the press , and said , Who touched my clothes ?;"Berehala antzeman zion Jesusek <bere baitatik halako indar bat atera zitzaiola> eta, jendartean itzulirik, galdetu zuen:
–Nork ukitu dit jantzia?";POSS.3SG inside-ABL such strengh a go out.PFV PST.ABS3SG.DAT3SG-COMP;–tik;;postposition;ABL marker is added to BAITA 'interior, inside', itself grammaticalized as a postposition to which locative case-markers can be added in animate nouns (by default option would be the morph GAN).  ;person
41005035;While he yet spake , there <came from the ruler of the synagogue's house> certain which said , Thy daughter is dead : why troublest thou the Master any further ?;Oraindik hizketan ari zela, <sinagogako buruzagiaren etxetik etorri ziren>, esatera: «Hil zaizu alaba. Zertarako eman neke gehiago Maisuari?»;synagogue-REL ruler-SG-GEN house-ABL come.PFV PST.ABS3PL;–tik;;postposition;;building
41006010;And he said unto them , In what place soever ye enter into an house , there abide till ye <depart from that place>.;Gero, nola jokatu esan zien: «Etxe batean sartzen zaretenean, gelditu bertan <herri hartatik atera> arte. ;countryside/town that.OBL-ABL go out;–tik;;postposition;;area
41006033;And the people saw them departing , and many knew him , and <ran afoot thither out of all cities>, and outwent them , and came together unto him .;Baina jende askok ikusi zituen alde egiten, eta nora zihoazen igarri ere bai, eta <herri guztietatik leku hartara jo zuten lasterka>, haiei aurrea hartuz.;village all-PL-ABL place that.OBL-ALL head_for in_a_hurry;–tik;;postposition;;settlement
41006054;And when they were <come out of the ship>, straightway they knew him ,;<Ontzitik atera> orduko ezagutu zuen Jesus jendeak, ;ship-ABL come out.PFV;–tik;;postposition;;????
41007001;Then came together unto him the Pharisees , and certain of the scribes , which <came from Jerusalem> .;Behin batean, fariseuak eta <Jerusalemdik etorritako> zenbait lege-maisu hurbildu zitzaizkion Jesusi, ;Jerusalem-ABL come.PFV-RES-REL;–tik;–dik;postposition;–dik is a phonologically conditioned allomorph of –tik;settlement
41007015;There is nothing <from without a man>, that entering into him can defile him : but the things which come out of him , those are they that defile the man .;"Ez da deus ere, <kanpotik> gizakiaren barrura sartuz, hau kutsa dezakeenik; barrutik ateratzen zaionak, horrek kutsatzen du gizakia».";outside-ABL;–tik;;postposition;;deictic?
41007015a;There is nothing from without a man, that entering into him can defile him : but the things which <come out of him> , those are they that defile the man .;"Ez da deus ere, kanpotik gizakiaren barrura sartuz, hau kutsa dezakeenik; <barrutik ateratzen zaionak>, horrek kutsatzen du gizakia».";inside-ABL go out-IPFV PRS.ABS3SG.DAT3SG-SBRD-SG.ERG;–tik;;postposition;Translations differs slighy, lit. 'what [ERG.SG] goes out from him, that [ERG.SG] defiles the man. ABL marker is added to the postposition barru 'inside'.;person
41007020;And he said , That which <cometh out of the man>, that defileth the man .;Eta erantsi zuen: –<Gizakiaren barrutik irteten> denak, horrek bai egiten duela gizakia zikin! ;human-SG-GEN inside-ABL go out.IPFV;–tik;;postposition;ABL marker is added to the postposition barru 'inside', not yet grammaticalized in this variety. Lit. 'from inside the man/human'. ;person
41007021;For <from within>, out of the heart of men , proceed evil thoughts , adulteries , fornications , murders ,;Izan ere, <barrutik>, gizakiaren bihotzetik, ateratzen dira asmo txarrak, lizunkeria, lapurretak, hilketak,;inside-ABL;–tik;;postposition;;deictic?
41007021a;For from within , <out of the heart> of men , proceed evil thoughts , adulteries , fornications , murders ,;Izan ere, barrutik, <gizakiaren bihotzetik>, ateratzen dira asmo txarrak, lizunkeria, lapurretak, hilketak,;human-SG-GEN heart-ABL;–tik;;postposition;;body organ
41007023;All these evil things <come from within>, and defile the man .;Gaiztakeria guztiok <barrutik irteten dira>, eta hauek dute gizakia kutsatzen.;inside-ABL go out-IPFV are;–tik;;postposition;;deictic?
41007026;"The woman was a Greek , a Syrophenician by nation ; and she besought him that he would <cast forth the devil out of her daughter>.";Emakumea jentila zen, feniziarra. Eta <bere alabagandik deabrua bota> zezala eskatzen zion Jesusi. ;POSS.3SG daughter.SG-ANIM-ABL devil-DET cast;–tik;–dik;postposition;With animate nouns the sequence can be either NOUN-DET-GEN-ANIM-ABL or NOUN-DET-ANIM-ABL;person
41007029;"And he said unto her , For this saying go thy way ; the devil <is gone out of thy daughter> .";"Orduan, Jesusek: –Ederra erantzuna! Zoaz, bada; <atera da deabrua zure alabagandik>.";go out.PFV is devil-DET your daughter.SG-ANIM-ABL;–tik;–dik;postposition;See comment on 41007026;person
41007031;And again , <departing from the coasts> of Tyre and Sidon , he came unto the sea of Galilee , through the midst of the coasts of Decapolis .;Utzi zuen Jesusek Tiro aldea eta, Sidonen barrena, Galileako aintzirara iritsi zen berriro, Dekapolisko lurraldean zehar.;;NA;;;Basque translation differs. Lit. 'Jesus left Tyre and, throughout Sidon, again arrived to the lake of Galilee'.;
41008003;And if I send them away fasting to their own houses , they will faint by the way : for divers of them <came from far>.;Etxera baraurik bidaltzen baditut, ahuleziak joko ditu bidean, <urrutitik etorriak> ere badira eta.;far-ABL come.PFV-RES.PL;–tik;;postposition;The given Basque word for FAR, urruti, includes the old PROL/ABL marker -ti. Thus, from diachronic perspective this is a pleonastik form that can be analyzed as [away-ABL-ABL].;deictic?
41008023;"And he took the blind man by the hand , and led him <out of the town>; and when he had spit on his eyes , and put his hands upon him , he asked him if he saw ought .";Jesusek itsuari eskutik heldu eta <herritik kanpora> eraman zuen. Begiak listuz igurtzi ondoren, eskuak ezarri zizkion eta galdetu: –Ikusten al duzu ezer?;town-ABL out-ALL;–tik;;postposition;;settlement
41009007;And there was a cloud that overshadowed them : and a voice <came out of the cloud>, saying , This is my beloved Son : hear him .;Orduan, hodei batek estali zituen eta mintzo hau <izan zen hodeitik>: «Hauxe dut neure Seme maitea. Entzun berari!»;be was cloud-ABL;–tik;;postposition;Source is expressed, but without a verb of mouvement. It is true that in Old Basque the verb TO BE, when used together with ABL or ALL cases, could express mouvement. But not today, especially in the southern province for which this translation has been written.;substance
41009025;When Jesus saw that the people came running together , he rebuked the foul spirit , saying unto him , Thou dumb and deaf spirit , I charge thee , <come out of him> , and enter no more into him .;Jesusek, jendea pilatzen ari zela ikusirik, mehatxu egin zion espiritu gaiztoari: –Espiritu gor eta mutua, neuk agintzen diat: <irten hadi mutil honengandik> eta ez sartu gehiago.;come_out IMP.2SG boy this.OBL.GEN-ANIM-ABL;–tik;–dik;postposition;;person
41010046;And they came to Jericho : and as he <went out of Jericho> with his disciples and a great number of people , blind Bartimaeus , the son of Timaeus , sat by the highway side begging .;Jerikora iritsi ziren. Eta Jesus bere ikasleekin eta jendetza handiarekin <hiritik irteterakoan>, Bartimeo itsua, Timeoren semea, eskean zegoen bide-ertzean eserita. ;city-ABL just_before_going_out;–tik;;postposition;Basque translation gives 'out of the city' instead of 'out of Jericho'.;settlement
41011012;And on the morrow , when they were <come from Bethany> , he was hungry :; Biharamunean, <Betaniatik irten> zirenean, Jesus gosetu egin zen. ;Bethany-ABL go out.PFV;–tik;;postposition;;settlement
41011019;And when even was come , he <went out of the city> .;Iluntzean, <hiritik atera ziren> Jesus eta ikasleak.;city-ABL go out.PFV were;–tik;;postposition;;settlement
41012008;And they took him , and killed him , and <cast him out of the vineyard >.;Hartu, hil eta <mahastitik kanpora bota zuten>.;wineyard-ABL out-ALL cast.PFV AUX;–tik;;postposition;;open space
41013001;And as he <went out of the temple> , one of his disciples saith unto him , Master , see what manner of stones and what buildings are here !;"Jesus <tenplutik ateratzean>, bere ikasleetako batek esan zion:
–Maisu, begira nolako harriak eta nolako eraikinak!";temple-ABL when_going_out;–tik;;postposition;;building
41016009;Now when Jesus was risen early the first day of the week , he appeared first to Mary Magdalene , <out of whom he had cast seven devils> .;Asteko lehen egunaren goizean pizturik, Jesus lehenik Magdalako Mariari agertu zitzaion, <zeinengandik zazpi deabru bota baitzituen>. ;which-GEN-ANIM-ABL seven devil cast.PFV SUB-AUX;–tik;–dik;postposition;–dik is a phonologically conditioned allomorph of –tik. The ABL marker is added to the animacy marker GA(N), and this can be added either to the GEN or to the determiner.;person
41014036;"And he said , Abba , Father , all things are possible unto thee ; <take away this cup from me> : nevertheless not what I will , but what thou wilt ";"Honela zioen: «Abba, Aita! Zure esku dago guztia; <urrun ezazu niregandik edari samin hau>! Baina egin bedi zure nahia, ez nirea».";move away IMP.ERG2>ABS3 1SG-GEN-ANIM-ABL beverage bitter this;–tik;–dik;postposition;–dik is a phonologically conditioned allomorph of –tik. The ABL marker is added to the animacy marker GA(N), and this can be added either to the GEN or to the determiner.;person
41002021;No man also seweth a piece of new cloth on an old garment : else the new piece that filled it up <taketh away from the old> , and the rent is made worse .;"«Inork ez dio jantzi zaharrari oihal gordinezko adabakirik josten; bestela, adabaki berriak jantzi zaharra behartu eta zarratada handiagoa egingo luke. ";;NA;;;Basque translation differs. ≈ 'The new piece would force the old coth and make a bigger hole'. ;
41007017;And when he was entered into the house <from the people> , his disciples asked him concerning the parable .;<Jendearengandik> alde egin eta etxeratu zenean, hitz horien esanahiaz galdetu zioten ikasleek. ;people-SG-GEN-ANIM-ABL;–tik;–dik;postposition;"Baque translation differs; ≈ 'When [he] left (from) the people and came home–'. Also, –dik is a phonologically conditioned allomorph of –tik. The ABL marker is added to the animacy marker GA(N), and this can be added either to the GEN or to the determiner.";people
41009026;"And the spirit cried , and rent him sore , and <came out of him>: and he was as one dead ; insomuch that many said , He is dead .";"Garrasika eta berebiziko astindua emanez, <atera zen> espiritu gaiztoa. Mutikoa hilik bezala gelditu zen. Ia denek hila zegoela zioten; ";go out.PFV was;NA;;;SOURCE is omitted;
41012002;And at the season he sent to the husbandmen a servant , that he might <receive from the husbandmen> of the fruit of the vineyard .;Bere garaian, morroi bat bidali zien nekazariei, mahastiaren fruitutik zegokion partea jasotzera. ;;NA;;;SOURCE is omitted;
41013015;And let him that is on the housetop not go down into the house , neither enter therein , to <take any thing out of his house> :;etxe gainean dagoena ez bedi jaits <etxetik ezer hartzera>, ;house-ABL anything take.NMLZ-ALL;–tik;;postposition;;building
41014052;And he left the linen cloth , and <fled from them> naked .;baina oihala utzi eta <ihes egin zien> biluzik.;escape do AUX.ABS.ERG.DAT;NA;;;SOURCE is conveyed by DAT agreement in the auxiliary verb (lit. 'he did escape them[DAT]').;
41014054;And Peter <followed him afar off> , even into the palace of the high priest : and he sat with the servants , and warmed himself at the fire .;Pedro Jesusen ondoren joana zen, <urrutitik jarraituz>, apaiz nagusiaren jauregi barruraino. Eta morroiekin batera eserita, sutondoan berotzen ari zen.;far-ABL follow-PFV-INS;–tik;;postposition;;deictic?
41001045;But he went out , and began to publish it much , and to blaze abroad the matter , insomuch that Jesus could no more openly enter into the city , but was without in desert places : and they <came to him from every quarter> .;Hura, ordea, irten orduko, gertatu berria goraki hots egiten eta zabaltzen hasi zen. Eta harrezkero, ezin zen Jesus inongo herritan agerian sartu, eta kanpoan gelditzen zen, bazterretan. Hala ere, <edonondik zetorkion jendea>.;everywhere-ABL ABS3SG.PST-come-FLAG-DAT3SG-PST people-DET;–tik;–dik;postposition;–dik is a phonologically conditioned allomorph of –tik;quantor?
41006001;"And he <went out from thence> , and came into his own country ; and his disciples follow him .";<Handik alde egin> eta bere herrira joan zen Jesus, bere ikasleak ondoren zituela. ;there-ABL escape do.PFV;–tik;–dik;postposition;–dik is a phonologically conditioned allomorph of –tik;deictic
41007024;And <from thence he arose>, and went into the borders of Tyre and Sidon , and entered into an house , and would have no man know it : but he could not be hid .;"<Handik>, Tiro aldera joan zen Jesus. Etxe batean sartu zen, eta ez zuen inork jakiterik nahi; baina ezin izan zen ezkutuan egon. ";there-ABL;–tik;–dik;postposition;–dik is a phonologically conditioned allomorph of –tik;deictic
41007033;"And he <took him aside from the multitude>, and put his fingers into his ears , and he spit , and touched his tongue ;";Jesusek, <jendearengandik aparte harturik>, hatzak belarrietan sartu zizkion eta listuz mihia ukitu. ;people-SG-GEN-ANIM-ABL aside take-PFV-RES;–tik;–dik;postposition;–dik is a phonologically conditioned allomorph of –tik;people
41010001;"And he <arose from thence>, and cometh into the coasts of Judaea by the farther side of Jordan : and the people resort unto him again ; and , as he was wont , he taught them again .";Jesus, <handik irtenik>, Judeako mugetan sartu zen, Jordan ibaiaz beste aldera igaroz. Berriro jende-multzo handiak bildu zitzaizkion ondora eta bera, ohi zuen bezala, irakasten hasi zitzaien.;there-ABL go out.PFV-RES;–tik;–dik;postposition;–dik is a phonologically conditioned allomorph of –tik;deictic
41013027;And then shall he send his angels , and shall gather together his elect <from the four winds> , from the uttermost part of the earth to the uttermost part of heaven .;Orduan, aingeruak bidali eta bere aukeratuak bilduko ditu <lau haizeetatik>, lur-muga batetik besteraino. ;four wind-PL-ABL;–tik;;postposition;;area
41013027a;And then shall he send his angels , and shall gather together his elect from the four winds , <from the uttermost part of the earth> to the uttermost part of heaven .;Orduan, aingeruak bidali eta bere aukeratuak bilduko ditu lau haizeetatik, <lur-muga batetik besteraino>.;earth-limit one-ABL other-TERM;–tik;;postposition;Basque translation differs. The idea is ≈ 'from on end of the Earth until the other'.;area
41014043;And immediately , while he yet spake , cometh Judas , one of the twelve , and with him a great multitude with swords and staves ,<from the chief priests> and the scribes and the elders .;"Jesus hizketan ari zela, han agertu zen Judas, Hamabietako bat; gizon-multzo bat zetorren harekin, ezpata eta makilak eskuetan, apaizburu, lege-maisu eta zaharrek bidalirik. ";;NA;;;"Basque paraphrases like this: 'Sent BY the chief priests, the scribes and the elders"". In this construction, what in English version is SOURCE becomes AGENT, and it is expressed by means of the ergative case.";
41016003;And they said among themselves , Who shall <roll us away the stone from the door> of the sepulchre ?;Honela ari ziren beren artean: «Nork <kenduko digu hilobi-sarrerako harria>?»;remove.PFV-PROSP PSR.ABS3SG.DAT1PL.ERG3SG tomb-entrance-REL stone-DET;NA;;postposition;Relational suffix -ko, whose general meaning is 'of'.;Building?
41016008;"And they went out quickly , and <fled from the sepulchre> ; for they trembled and were amazed : neither said they any thing to any man ; for they were afraid .";"Emakumeek <hilobitik ihesi alde egin zuten>, sartu zitzaien izu eta ikaraz; eta, beldurraren beldurrez, ez zioten inori ezer esan.";tomb-ABL escape depart AUX;–tik;;postposition;"In my oppinion Basque translator made a mistake. Even if it was possible to say hilobitik ihesi alde egin zuten 'they departed escaping from the tomb', usually ihesi egin & alde egin are used as synonyms ('to escape'); probably the tanslator forgot something. ";building
41001011;And there <came a voice from heaven> , saying , Thou art my beloved Son , in whom I am well pleased .;Eta <mintzo hau etorri zen zerutik>: «Zu zaitut neure Semea, neure maitea, zu zaitut atsegin».;voice this come was heaven-ABL;–tik;;postposition;;above
41007004;And when they <come from the market> , except they wash , they eat not . And many other things there be , which they have received to hold , as the washing of cups , and pots , brasen vessels , and of tables .;"<Azokatik etxeratzean> ere, ez dute jaten garbikuntza egin gabe; eta badute beste hamaika ohiturazko betebehar: hala nola edalontzi, pitxer eta suilen garbiketa.";market-ABL when_coming_home;–tik;;postposition;;open space
41008011;And the Pharisees came forth , and began to question with him , seeking of him <a sign from heaven> , tempting him .;Fariseuak etorri eta Jesusekin eztabaidan hasi ziren: <Jainkoarengandiko seinale bat> eskatzen zioten azpikeriaz, bera nola harrapatuko. ;God-SG-GEN-ANIM-ABL-REL sign a;–tik;–dik;postposition;Agglutination of ABL marker -dik + relational suffix -ko, because in the sentence SOURCE is used as an adjectival structure, and the head of the NP is a sign. However, it could be perfectly given without the relational suffix –ko, albeit in this case the syntactical status of SOURCE would correspond to a complement of the VP. ;God
41009009;And as they <came down from the mountain>, he charged them that they should tell no man what things they had seen , till the Son of man were risen from the dead .;<Menditik beherakoan>, ikusitakoa inori ez aipatzeko agindu zien, harik eta Gizonaren Semea hildakoen artetik piztu arte. ;mountain-ABL when_came_down;–tik;;postposition;;above
41015020;And when they had mocked him , they <took off the purple from him>, and put his own clothes on him , and led him out to crucify him .;Nahikoa iseka egin ondoren, <purpurazko jantzia erantzi> eta bere soinekoak jarri zizkioten. Gero, atera eta gurutzean josteko eraman zuten.;purple-INS-REL cloth-DET undress.PFV;NA;;;SOURCE is conveyed by DAT agreement in the verb.;person
41015021;And they compel one Simon a Cyrenian , who passed by , <coming out of the country>, the father of Alexander and Rufus , to bear his cross .;<Sorotik etxerakoan> handik zihoan bat, Simon Zirenekoa (Alexandro eta Ruforen aita), Jesusen gurutzea eramatera behartu zuten.;country-ABL when_coming_home;–tik;;postposition;;open space
41015030;Save thyself , and <come down from the cross>.;Salba ezak heure burua! <Jaits hadi gurutzetik>!»;come down IMP.INTR.2SG cross-ABL;–tik;;postposition;;artifact
41015032;Let Christ the King of Israel <descend now from the cross> , that we may see and believe . And they that were crucified with him reviled him .;"Mesias omen duk hori, Israelgo erregea; <jaits dadila orain gurutzetik>, ikus eta sinets dezagun». Berarekin gurutzean josiak zeudenek ere irain egiten zioten.";come_down AUX.SUBJ.COMP now cross-ABL;–tik;;postposition;;artifact
41015038;And the veil of the temple <was rent in twain from the top to the bottom>.;Orduan, santutegiko oihala <erdiz erdi urratu zen, goitik behera>.;half-INS half rent-PFV was top-ABL bottom-ALL;–tik;;postposition;;deictic
41001002;Behold, I send my messenger before thy face, which shall prepare thy way <before thee>.;Begira, neure mezularia bidaltzen dut <zure aurretik> zuri bidea moldatzera.;you-GEN before-ABL;–tik;;postposition;;deictic
41001031;And he came and <took her by the hand>, and lifted her up.;Joan zitzaion ondora, <eskutik hartu> eta jaikiarazi egin zuen.;hand-ABL take-PFV;–tik;;postposition;PROLATIVE;body organ
41001035;And in the morning, rising up a great while before day, <he went out>, and departed into a solitary place, and there prayed.;"Goizean goiz, oraindik ilun zegoela, <Jesus herritik irten> eta bazter bakarti batera joan zen; han otoitzean ari zen.";Jesus village-ABL go out;–tik;;postposition;;settlement
41002004;they uncovered the roof where he was: and when they had broken it up, they let down the bed wherein the sick of the palsy lay. ;Orduan, bera zegoen parean etxe gaina zulatu eta <zulotik behera eraitsi zuten elbarria>, etzana zegoen ohatilan.;hole-ABL down-ALL throw-PRF AUX palsy-DET;–tik;;postposition;PROLATIVE;
41003027;No man can enter into a strong man's house, and spoil his goods, except he will <first> bind the strong man.;Ez daiteke inor indartsu baten etxera lapurretara joan, <aldez aurretik> hura lotzen ez badu.;place-INS before-ABL;–tik;;postposition;TIME;time
41005027a;When she had heard of Jesus, <came in the press behind>, and touched his garment.;Jesusi buruz esaten zena entzunik, <jendartean atzetik joan> eta jantzia ukitu zion.;multitude-INE behind-ABL go.PFV;–tik;;postposition;PROLATIVE;
41005041;And he <took the damsel by the hand>, and said unto her:;<Eskutik heldu> eta esan zion: «Talitha kum » (hau da: «Neskatxa, zuri diotsut: Jaiki zaitez»).;hand-ABL take-PFV;–tik;;postposition;PROLATIVE;
41006014;<John the Baptist was risen from the dead>, and therefore mighty works do shew forth themselves in him.;"<Joan Bataiatzailea hildakoen artetik piztu da>; horregatik du mirariak egiteko ahalmen hori.";John the Baptist dead-PL.GEN between-ABL revive.PFV AUX;–tik;;postposition;;people (dead)
41006034;And Jesus, <when he came out>, saw much people;<Txalupatik jaitsi zenean>, jendetza handia ikusi zuen Jesusek.;vessel-ABL go down.PRV AUX.SBRD;–tik;;postposition;SOURCE is not expressed in the English version.;artifact
41006045;And straightway he constrained his disciples to get into the ship, and to go to the other side before unto Bethsaida, while he sent away the people.;Berehala, Jesusek ikasleak txalupan sarrarazi eta <bere aurretik> beste aldera, Betsaidarantz, joateko agindu zien, berak jendeari agur egin bitartean.;POSS.3SG before-ABL;–tik;;postposition;PROLATIVE;
41007018;"And he saith unto them, Are ye so without understanding also? Do ye not perceive, that whatsoever thing <from without> entereth into the man, it cannot defile him;";Jesusek esan zien: –Beraz, ez duzue zuek ere ulertzen? Ez al duzue ikusten <kanpotik> sartzen zaion ezerk ez dezakeela gizakia zikindu?;outside-ABL;–tik;;postposition;;deictic?
41008012;And he sighed deeply in his spirit, and saith, Why doth this generation seek after a sign? verily I say unto you, There shall no sign be given unto this generation.;Jesusek, <barrutik hasperen eginez>, esan zien: «Zer dela-eta ari da gizaldi hau seinale eske? Benetan diotsuet: Gizaldi honi ez zaio seinalerik emango».;inside-ABL sigh do-INS;–tik;;postposition;SOURCE is not expressed in the English version.;
41008023a;"And <he took the blind man by the hand>, and led him out of the town; and when he had spit on his eyes , and put his hands upon him , he asked him if he saw ought .";<Jesusek itsuari eskutik heldu> eta herritik kanpora eraman zuen. Begiak listuz igurtzi ondoren, eskuak ezarri zizkion eta galdetu: –Ikusten al duzu ezer?;Jesus-ERG blind-DET hand-ABL take-PFV;–tik;;postposition;PROLATIVE;body organ
41008033;But when he had turned about and looked on his disciples, he rebuked Peter, saying, <Get thee behind me>, Satan: for thou savourest not the things that be of God, but the things that be of men.;Baina Jesusek, itzuli eta ikasleei begira, gogor eraso zion Pedrori, esanez: –<Alde nire ondotik>, Satanas! Hire asmoak ez dituk Jainkoarenak, gizakiarenak baizik.;escape 1SG-GEN side-ABL;–tik;;postposition;;deictic
41009009a;And as they came down from the mountain, he charged them that they should tell no man what things they had seen , <till the Son of man were risen from the dead>.;Menditik beherakoan, ikusitakoa inori ez aipatzeko agindu zien, harik eta <Gizonaren Semea hildakoen artetik piztu arte>. ;man-SG-GEN son-DET dead-PL.GEN between-ABL revive.PFV until;–tik;;postposition;;people (dead)
41009010;And they kept that saying with themselves, questioning one with another what <the rising from the dead> should mean.;Agindu hau bete zuten, baina «<hildakoen artetik pizte>» horrekin zer adierazi nahi ote zien ziharduten beren artean. ;dead-PL.GEN between-ABL revival;–tik;;postposition;;people (dead)
41009027;"But <Jesus took him by the hand>, and lifted him up; and he arose.";baina <Jesusek eskutik hartu> eta altxarazi egin zuen, eta mutikoa zutitu egin zen.;Jesus-ERG hand-ABL take-PFV;–tik;;postposition;PROLATIVE;body organ
41009042;And whosoever shall offend one of these little ones that believe in me, it is better for him that <a millstone were hanged about his neck>, and he were cast into the sea.;«Sinesten duten txiki hauetakoren baten sinesmena galbidean jartzen duenak, hobe luke <errotarri bat lepotik lotu> eta itsasora amilduko balute.;milestone one neck-ABL;–tik;;postposition;PROLATIVE;body organ
41010006;But <from the beginning of the creation> God made them male and female.;Baina, <munduaren hasieratik>, Jainkoak gizaseme eta emakume egin zituen;world-SG-GEN beginning-ABL;–tik;;postposition;TIME;time
